CRN,Course Subject,Course Number,Course Title,Course Section,Sched Type,Term,Primary Instructor,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade
30017,MATH,461,Probability Theory,B3,LCD,120135,"Stolarsky, Kenneth B",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
31859,MATH,461,Probability Theory,EGR,ONL,120135,"Carpenter, Bruce",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
35546,MATH,540,Real Analysis,C1,LCD,120135,"Loeb, Peter A",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30095,MCB,100,Introductory Microbiology,A,LEC,120135,"Chapman, Kenneth",3,2,3,0,4,2,2,3,3,1,0,0,2,1,2.61
30024,MCB,150,Molec & Cellular Basis of Life,AD1,DIS,120135,"Good, Elizabeth A",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30025,MCB,150,Molec & Cellular Basis of Life,AD2,DIS,120135,"Good, Elizabeth A",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
36346,MCB,150,Molec & Cellular Basis of Life,ONL,ONL,120135,"Mehrtens, Bradley G",1,5,7,4,6,2,4,8,6,3,1,0,2,0,2.59
36347,MCB,215,Foundation in Mol & Cell Bio,ONL,ONL,120135,"Bellini, Michel",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
36047,MCB,244,Human Anatomy & Physiology I,AL1,LEC,120135,"Brown, Chester M",3,3,4,9,8,10,11,4,1,4,1,3,1,2,2.63
36048,MCB,245,Human Anat & Physiol Lab I,A,LAB,120135,"Brown, Chester M",5,4,5,3,0,1,0,4,0,0,0,0,0,0,3.41
36049,MCB,245,Human Anat & Physiol Lab I,B,LAB,120135,"Brown, Chester M",1,4,9,2,2,3,1,0,1,0,0,0,0,0,3.38
30036,MCB,250,Molecular Genetics,AD1,DIS,120135,"Kirchner, Nicholas C",2,2,1,4,0,3,3,2,1,1,0,0,2,1,2.62
30038,MCB,250,Molecular Genetics,AD2,DIS,120135,"Kirchner, Nicholas C",5,1,0,4,4,2,1,0,1,1,1,1,1,0,2.8
30040,MCB,250,Molecular Genetics,AD3,DIS,120135,"Kirchner, Nicholas C",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30042,MCB,250,Molecular Genetics,AD4,DIS,120135,"Kirchner, Nicholas C",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30952,ME,300,Thermodynamics,C,LEC,120135,"Rajasegar, Rajavasanth",4,2,2,0,4,1,1,2,1,1,0,2,1,0,2.7
30955,ME,340,Dynamics of Mechanical Systems,AL1,LEC,120135,"Lee, Seungho",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30958,ME,350,Design for Manufacturability,AL1,LEC,120135,"Flachsbart, Bruce R",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
35813,ME,598,Tsinghua Internship,TEX,DIS,120135,"Johnson, Harley T",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
35812,ME,598,Tsinghua Internship,TSE,DIS,120135,"Johnson, Harley T",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30153,MUS,276,Summer Band,A,PR,120135,"Rumbelow, Robert W",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30155,MUS,400,Counterpoint and Fugue,A,LCD,120135,"Lund, Erik R",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
