CRN,Course Subject,Course Number,Course Title,Course Section,Sched Type,Term,Primary Instructor,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade
30738,ARTS,260,Basic Photography,T9,LAB,120081,"Crowther, Matthew D",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30744,ARTS,261,Photography II,M9,LAB,120081,"Batten, Luke",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
40754,ARTS,262,View Camera,T9,LAB,120081,"Robbennolt, Linda F",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
40434,ARTS,263,Color Photography,M2,LAB,120081,"Batten, Luke",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30762,ARTS,280,Sculpture I,T2,LAB,120081,"Hodgin Jones, Karin L",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30763,ARTS,281,Sculpture II,M1,LAB,120081,"Pokorny, Melissa",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
46772,ARTS,299,Spec Topics in Studio Art,AD1,LAB,120081,"Nettles, Beatrice",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
49096,ARTS,299,Spec Topics in Studio Art,BD,LAB,120081,"Delacruz, Elizabeth M",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30389,ARTS,310,Ceramics Sculpture II,M17,LAB,120081,"Kovatch, Ronald R",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30382,ARTS,331,Jewelry Metals IV,MX,LAB,120081,"Theide, Billie J",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30384,ARTS,332,Metal Technology,MX,LAB,120081,"Theide, Billie J",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
39804,ARTS,340,The Art of 3D Imaging,A,LAB,120081,"Guthrie, Gerald W",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
46891,ARTS,341,Image Practice,T1,LAB,120081,"Kostell, Steve",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
46895,ARTS,343,Time Arts I,M4,LAB,120081,"Griffis, Ryan",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
46894,ARTS,343,Time Arts I,M7,LAB,120081,"Bradford, Collin L",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
48518,ARTS,344,Interactivity I,M1,LAB,120081,"Griffis, Ryan",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
46821,ARTS,351,Intermediate Studio II,M9A,LAB,120081,"Hogin, Lauretta J",2,18,6,1,3,0,0,0,0,0,0,0,1,0,3.69
