CRN,Course Subject,Course Number,Course Title,Course Section,Sched Type,Term,Primary Instructor,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade
30010,MATH,417,Intro to Abstract Algebra,C4,LCD,120065,"Robinson, Derek S",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
31124,MATH,444,Elementary Real Analysis,A3,LCD,120065,"Miles, Joseph B",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30012,MATH,444,Elementary Real Analysis,D3,LCD,120065,"Loeb, Peter A",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30014,MATH,446,Applied Complex Variables,X3,LCD,120065,"Nikolaev, Igor G",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30017,MATH,461,Probability Theory I,B3,LCD,120065,"Zhu, Yanyun",8,3,1,4,0,0,3,1,0,1,0,0,1,1,3.3
31859,MATH,461,Probability Theory I,EGR,ONL,120065,"Uhl, J J",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
31860,MATH,490,Calculus Refresher,A,ONL,120065,"Uhl, J J",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
31861,MATH,490,Systems of Linear Differ Equat,B,ONL,120065,"Uhl, J J",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30021,MATH,553,Partial Differential Equations,C1,LCD,120065,"Stolarsky, Kenneth B",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
33211,MATH,595,Advanced Topics in Math,REE,LCD,120065,"Erdogan, Mehmet B",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
32496,MATH,595,Advanced Topics in Math,REG,LCD,120065,"Gorvett, Richard",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
33212,MATH,595,Advanced Topics in Math,RET,LCD,120065,"Tumanov, Alexander E",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
32470,MATH,595,Advanced Topics in Math,REW,LCD,120065,"West, Douglas B",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30095,MCB,100,Introductory Microbiology,A,LEC,120065,"Chapman, Kenneth",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30306,MCB,103,Intro to Human Physiology,A,LEC,120065,"Meisami, Esmail",4,3,4,4,4,5,2,4,2,1,1,0,0,0,2.93
30307,MCB,104,Intro to Human Physiology Lab,1,LAB,120065,"Meisami, Esmail",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30308,MCB,104,Intro to Human Physiology Lab,2,LAB,120065,"Meisami, Esmail",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30024,MCB,150,Molec & Cellular Basis of Life,AD1,DIS,120065,"Behle, Kelly N",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30025,MCB,150,Molec & Cellular Basis of Life,AD2,DIS,120065,"Behle, Kelly N",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30036,MCB,250,Molecular Genetics,AD1,DIS,120065,"Blinstrup, Elizabeth A",5,4,1,2,5,2,1,1,2,0,0,0,1,0,3.1
30038,MCB,250,Molecular Genetics,AD2,DIS,120065,"Blinstrup, Elizabeth A",1,5,3,1,2,0,3,2,2,1,2,0,0,0,2.82
30040,MCB,250,Molecular Genetics,AD3,DIS,120065,"Blinstrup, Elizabeth A",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30097,MCB,300,Microbiology,A,LEC,120065,"Grabner, Gail K",1,9,6,5,12,6,4,3,4,0,0,0,0,0,3.05
30865,MCB,334,Functional Human Anatomy,AB1,LAB,120065,"Hough, John C",0,18,0,0,5,0,0,4,0,0,0,0,0,0,3.52
30867,MCB,334,Functional Human Anatomy,BB1,LAB,120065,"Hough, John C",0,20,0,0,6,0,0,1,0,0,0,0,0,0,3.7
30724,MCB,450,Introductory Biochemistry,AL1,LEC,120065,"Matz, Charles E",3,16,2,4,4,2,1,5,5,1,0,0,0,2,3.16
31104,ME,170,Computer-Aided Design,AL1,LEC,120065,"Merklin, Sean T",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30952,ME,300,Thermodynamics,C,LEC,120065,"Zhong, Yongfang",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30955,ME,340,Model and Anlys of Dynm Sys,AL1,LEC,120065,"Demas, Nicholaos G",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30958,ME,350,Design for Manufacturability,AL1,LEC,120065,"Varadhan, Satya N",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30111,MUS,133,Introduction to World Music,AD1,DIS,120065,"Haynes, Ryan",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30112,MUS,133,Introduction to World Music,AD2,DIS,120065,"Haynes, Ryan",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30115,MUS,160,Jazz Piano Improvisation I,A,LBD,120065,"McNeill, Charles L",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
32905,MUS,190,Oboe,A,CNF,120065,"Dee, John",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30147,MUS,196,Euphonium,A,CNF,120065,"Moore, Mark E",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30153,MUS,276,Summer Band,A,PR,120065,"Griffin, Peter J",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30154,MUS,400,Counterpoint and Fugue,AG,LCD,120065,"Lund, Erik R",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30156,MUS,406,Composition,A,CNF,120065,"Makan, Keeril",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30157,MUS,408,Analysis of Musical Form,EG,LCD,120065,"Von Gunden, Heidi C",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30158,MUS,408,Analysis of Musical Form,EU,LCD,120065,"Von Gunden, Heidi C",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30159,MUS,413,Music of the 18th Century,A,LCD,120065,"Hill, John W",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
33029,MUS,421,The Music of America,A,LCD,120065,"Magee, Gayle S",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
31250,MUS,439,Music and the Special Learner,A,LCD,120065,"Denardo, Gregory F",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30168,MUS,447,Tech Based Music Instruction,A,LCD,120065,"Reese, Sam",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30164,MUS,450,Advanced Ensemble Music,I,PR,120065,"McNeill, Charles L",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30166,MUS,450,Advanced Ensemble Music,M,PR,120065,"Griffin, Peter J",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30170,MUS,456,Adv Jazz Piano Improvisation,A,LBD,120065,"McNeill, Charles L",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30171,MUS,479,Harpsichord,A,CNF,120065,"Heiles, William H",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30175,MUS,480,Piano,E,CNF,120065,"Heiles, William H",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
33030,MUS,481,Voice,E,CNF,120065,"Davis, Ollie W",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30181,MUS,489,Clarinet,A,CNF,120065,"Harris, James D",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
32906,MUS,490,Oboe,A,CNF,120065,"Dee, John",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30183,MUS,493,Trumpet,A,CNF,120065,"Ewald, Michael E",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30185,MUS,495,Trombone,A,CNF,120065,"Chasanov, Elliot L",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30186,MUS,496,Euphonium,A,CNF,120065,"Moore, Mark E",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30188,MUS,498,Percussion,A,CNF,120065,"Moersch, William",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30189,MUS,498,Percussion,B,CNF,120065,"Flores, Ricardo",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30161,MUS,499,Proseminar in Music,C,CNF,120065,"Wyatt, Scott A",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30190,MUS,506,Composition,A,CNF,120065,"Makan, Keeril",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30192,MUS,524,Sem in Wrks of Select Composer,A,LCD,120065,"Kinderman, William A",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30191,MUS,532,Principles of Curric in Mus Ed,A,LCD,120065,"McPherson, Gary E",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30167,MUS,533,Introd to Research in Mus Ed,A,LCD,120065,"Grashel, John W",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30196,MUS,538,Gen Mus Program Elem Schools,A,LCD,120065,"Denardo, Gregory F",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30198,MUS,540,Rehearsal Techniques in Band,A,CNF,120065,"Keene, James F",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
32901,MUS,543,Tests & Measurement in Mus Ed,A,LCD,120065,"Grashel, John W",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
