CRN,Course Subject,Course Number,Course Title,Course Section,Sched Type,Term,Primary Instructor,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade
44668,CS,523,Advanced Operating Systems,ONL,ONL,120121,"King, Samuel T",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
43634,CS,526,Advanced Compiler Construction,D,LCD,120121,"Adve, Vikram S",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
31610,CS,533,Parallel Computer Architecture,S,LCD,120121,"Torrellas, Josep",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
58391,CS,543,Computer Vision,ADD,LCD,120121,"Hoiem, Derek W",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
57440,CS,544,Optimiz in Computer Vision,CV,LCD,120121,"Forsyth, David A",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
48178,CS,546,Machine Learning in NLP,S,LEC,120121,"Roth, Dan",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
50117,CS,555,Numerical Methods for PDEs,N,LEC,120121,"Hirani, Anil N",3,20,3,2,0,0,0,1,0,0,0,0,0,0,3.85
56891,CS,563,Advanced Computer Security,C,LEC,120121,"Gunter, Carl",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
46236,CS,565,Human-Computer Interaction,S,LEC,120121,"Bailey, Brian P",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
31622,CS,576,Topics in Automated Deduction,N,LCD,120121,"Gunter, Elsa",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
57687,CS,576,Topics in Automated Deduction,ONL,ONL,120121,"Gunter, Elsa",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
56940,CS,598,Cognitive Engineering,ACK,LEC,120121,"Kirlik, Alex",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
43773,CS,598,Spectral Graph Theory,AK,LCD,120121,"Kolla, Alexandra",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
50225,CS,598,Advanced NLP,JHM,LCD,120121,"Hockenmaier, Julia C",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
56909,CS,598,Cyber-Physical Systems,MC,LCD,120121,"Mohan, Sibin",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
58019,CS,598,Cloud Computing,RCO,ONL,120121,"Campbell, R H",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
56938,CS,598,Cloud Computing,RHC,LCD,120121,"Campbell, R H",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
43366,CW,104,Introductory Narrative Writing,B,LCD,120121,"Graham, Philip",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
43365,CW,104,Introductory Narrative Writing,D1,LCD,120121,"Rubins, John",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
56175,CW,104,Introductory Narrative Writing,D2,LCD,120121,"Griswold, William J",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
43431,CW,104,Introductory Narrative Writing,M,LCD,120121,"Don, Michael L",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
43363,CW,104,Introductory Narrative Writing,Q,LCD,120121,"Rubins, John",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
43432,CW,104,Introductory Narrative Writing,S,LCD,120121,"Davenport, Stephen M",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
43368,CW,106,Introductory Poetry Writing,D,LCD,120121,"Hine, Angela L",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
43370,CW,106,Introductory Poetry Writing,F,LCD,120121,"Price, Julie P",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
48076,CW,106,Introductory Poetry Writing,X,LCD,120121,"Price, Julie P",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
47060,CW,202,Craft of Writing for Children,P,LCD,120121,"Harrington, Janice",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
47058,CW,202,Creative Writ Marginal People,WC,LCD,120121,"Coyoca, Wilfred D",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
43374,CW,204,Intermediate Narrative Writing,M,LCD,120121,"Griswold, William J",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
43373,CW,204,Intermediate Narrative Writing,P,LCD,120121,"Griswold, William J",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
43375,CW,204,Intermediate Narrative Writing,X,LCD,120121,"Rubins, John",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
52270,CW,206,Intermediate Poetry Writing,Q,LCD,120121,"Price, Julie P",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
43376,CW,208,Creative Nonfiction Writing,Q,LCD,120121,"Sanders, John T",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
43377,CW,404,Advanced Narrative Writing,1U,LCD,120121,"Graham, Philip",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
43380,CW,404,Advanced Narrative Writing,2U,LCD,120121,"Shakar, Alexander M",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
43383,CW,406,Advanced Poetry Writing,1U,LCD,120121,"Madonick, Michael D",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
43385,CW,406,Advanced Poetry Writing,2U,LCD,120121,"Harrington, Janice",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
43388,CW,504,Writing Workshop in Fiction,T,LCD,120121,"Petty, Audrey N",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
43390,CW,506,Writing Workshop in Poetry,T,LCD,120121,"Madonick, Michael D",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
43391,CW,560,Literary Publishing &Promotion,NL,CNF,120121,"Stanley, Jodee",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
