CRN,Course Subject,Course Number,Course Title,Course Section,Sched Type,Term,Primary Instructor,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade
33889,SWAH,403,Intermediate Swahili I,C1,LCD,120085,"Lisanza, Esther M",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
33694,SWAH,404,Intermediate Swahili II,A1,LEC,120085,"Muaka, Leonard",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
33890,SWAH,404,Intermediate Swahili II,C1,LEC,120085,"Lisanza, Esther M",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
33733,SWAH,405,Advanced Swahili I,A1,LCD,120085,"Yambi, Josephine",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
33734,SWAH,406,Advanced Swahili II,A1,LCD,120085,"Yambi, Josephine",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30463,TAM,212,Introductory Dynamics,C,LEC,120085,"Topalian, Victor D",0,3,2,5,1,2,4,2,3,1,1,0,3,2,2.41
30464,TAM,251,Introductory Solid Mechanics,A,LCD,120085,"Turner, Daniel Z",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30468,TAM,335,Introductory Fluid Mechanics,AL1,LEC,120085,"Fettig, John",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30486,THEA,101,Introduction to Theatre Arts,A,LCD,120085,"Hohman, Valleri J",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
32255,THEA,101,Introduction to Theatre Arts,B,LCD,120085,"Stern, Travis W",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
33125,UP,428,International Planning Studio,S,LAB,120085,"Harwood, Stacy A",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30133,WLOF,201,Elementary Wolof I,AE1,LCD,120085,"Sarr, Awa C",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
32885,WLOF,202,Elementary Wolof II,B1,LCD,120085,"Sarr, Awa C",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
33707,WLOF,403,Intermediate Wolof I,A1,LCD,120085,"Wane, Hapsatou",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
33708,WLOF,404,Intermediate Wolof II,A1,LEC,120085,"Wane, Hapsatou",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
33682,ZULU,201,Elementary Zulu I,AE1,LCD,120085,"Hlongwa, Tholani S",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
33687,ZULU,202,Elementary Zulu II,AE1,LCD,120085,"Hlongwa, Tholani S",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
