CRN,Course Subject,Course Number,Course Title,Course Section,Sched Type,Term,Primary Instructor,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade
33660,MCB,150,Molec & Cellular Basis of Life,AD1,DIS,120078,"McCurdy, Margaret A",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
33807,MCB,150,Molec & Cellular Basis of Life,AD2,DIS,120078,"Jain, Prashant",1,2,3,3,4,4,2,1,0,0,1,0,1,1,2.88
33812,MCB,150,Molec & Cellular Basis of Life,ADA,DIS,120078,"Jain, Prashant",0,2,3,0,4,3,1,5,2,0,0,0,3,1,2.38
33676,MCB,150,Molec & Cellular Basis of Life,ADB,DIS,120078,"Jain, Prashant",1,3,2,3,2,1,1,2,3,1,1,1,0,0,2.68
33814,MCB,150,Molec & Cellular Basis of Life,ADC,DIS,120078,"Cannistraro, Vincent J",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
33817,MCB,150,Molec & Cellular Basis of Life,ADD,DIS,120078,"Vakkasoglu, Ahmet S",0,1,1,2,6,3,0,4,2,1,1,0,2,0,2.35
33823,MCB,150,Molec & Cellular Basis of Life,ADE,DIS,120078,"Vakkasoglu, Ahmet S",2,1,2,1,2,4,2,2,3,1,1,0,2,0,2.41
33825,MCB,150,Molec & Cellular Basis of Life,ADF,DIS,120078,"Dunlap, Amy",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
33820,MCB,150,Molec & Cellular Basis of Life,ADG,DIS,120078,"Dunlap, Amy",1,1,2,1,3,2,0,4,3,2,0,2,1,0,2.27
33849,MCB,150,Molec & Cellular Basis of Life,ADH,DIS,120078,"Vandre, Catherine",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
33864,MCB,150,Molec & Cellular Basis of Life,ADI,DIS,120078,"Mehrtens, Bradley G",3,4,4,3,3,2,0,1,1,2,1,0,0,0,3.1
33896,MCB,150,Molec & Cellular Basis of Life,ADJ,DIS,120078,"Qi, Zhi",1,1,2,1,4,3,3,1,2,0,2,0,1,1,2.52
33854,MCB,150,Molec & Cellular Basis of Life,ADK,DIS,120078,"Cannistraro, Vincent J",2,2,2,5,3,2,2,2,1,1,0,0,1,1,2.87
33860,MCB,150,Molec & Cellular Basis of Life,ADL,DIS,120078,"Davis, James J",1,1,1,5,3,6,2,2,1,2,0,0,0,0,2.76
33902,MCB,150,Molec & Cellular Basis of Life,ADM,DIS,120078,"Davis, James J",1,1,3,2,2,5,4,1,0,1,1,2,0,0,2.61
33840,MCB,150,Molec & Cellular Basis of Life,ADN,DIS,120078,"Davis, James J",1,2,2,3,1,1,5,3,2,2,0,0,0,1,2.67
33905,MCB,150,Molec & Cellular Basis of Life,ADO,DIS,120078,"Vakkasoglu, Ahmet S",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
33910,MCB,150,Molec & Cellular Basis of Life,ADP,DIS,120078,"Qi, Zhi",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
33918,MCB,150,Molec & Cellular Basis of Life,ADQ,DIS,120078,"Bai, Lu",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
34003,MCB,150,Molec & Cellular Basis of Life,ADR,DIS,120078,"Bai, Lu",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
34009,MCB,150,Molec & Cellular Basis of Life,ADS,DIS,120078,"Cannistraro, Vincent J",2,2,2,4,2,3,2,1,4,1,0,1,0,0,2.75
34014,MCB,150,Molec & Cellular Basis of Life,ADT,DIS,120078,"Kanamaluru, Deepthi",2,0,0,2,6,2,1,0,3,2,0,2,2,1,2.24
34028,MCB,150,Molec & Cellular Basis of Life,ADU,DIS,120078,"Kanamaluru, Deepthi",0,2,1,2,4,1,6,1,2,2,0,1,1,0,2.42
34031,MCB,150,Molec & Cellular Basis of Life,ADV,DIS,120078,"Kanamaluru, Deepthi",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
40543,MCB,150,Molec & Cellular Basis of Life,ADW,DIS,120078,"McCurdy, Margaret A",1,1,3,1,2,4,4,1,0,1,1,1,1,0,2.54
40552,MCB,150,Molec & Cellular Basis of Life,ADX,DIS,120078,"McCurdy, Margaret A",1,3,2,2,4,1,2,3,1,1,1,0,2,0,2.58
40554,MCB,150,Molec & Cellular Basis of Life,ADY,DIS,120078,"Huo, Xiaofeng",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
40555,MCB,150,Molec & Cellular Basis of Life,ADZ,DIS,120078,"Huo, Xiaofeng",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
34078,MCB,151,Molec & Cellular Laboratory,A,LBD,120078,"Ganesan, Krithika",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
34084,MCB,151,Molec & Cellular Laboratory,B,LBD,120078,"Berberoglu, Stephen G",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
34093,MCB,151,Molec & Cellular Laboratory,C,LBD,120078,"You, Young Ok",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
34102,MCB,151,Molec & Cellular Laboratory,D,LBD,120078,"You, Young Ok",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
34108,MCB,151,Molec & Cellular Laboratory,E,LBD,120078,"Liu, Qian",8,8,0,5,0,0,0,0,0,0,1,0,0,0,3.71
34114,MCB,151,Molec & Cellular Laboratory,F,LBD,120078,"Berberoglu, Stephen G",10,2,1,2,3,1,0,0,1,1,0,0,0,0,3.48
45123,MCB,151,Molec & Cellular Laboratory,G,LBD,120078,"Ganesan, Krithika",4,6,2,4,0,2,1,1,0,0,1,0,1,0,3.24
50368,MCB,195,Intro to Laboratory Research,ADA,DIS,120078,"Huber, Joan L",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
50369,MCB,195,Intro to Laboratory Research,ADB,DIS,120078,"Huber, Joan L",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
50372,MCB,195,Intro to Laboratory Research,ADE,DIS,120078,"Huber, Joan L",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
